date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:30	20216/20216	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%224ef8-5513a6fba8100%22	https://gizmoder.com/demo/html/omnivus/omnivus/assets/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/assets/js/jquery.magnific-popup.min.js	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:30	1067/1067	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2242b-57e8ec568f880%22	https://gizmoder.com/demo/html/omnivus/omnivus/assets/js/jquery.counterup.min.js	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/assets/js/jquery.counterup.min.js	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:31	4445/4445	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22115d-5554b16253a80%22	https://gizmoder.com/demo/html/omnivus/omnivus/assets/js/circle-progress.min.js	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/assets/js/circle-progress.min.js	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:31	665/665	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%224e1-57906ea773980%22	https://gizmoder.com/demo/html/omnivus/omnivus/assets/js/ajax-contact.js	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/assets/js/ajax-contact.js	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:31	5516/5516	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22158c-592ec63366680%22	https://gizmoder.com/demo/html/omnivus/omnivus/assets/js/jquery.syotimer.min.js	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/assets/js/jquery.syotimer.min.js	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:31	2942/2942	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22b7e-5325ec7cd7a00%22	https://gizmoder.com/demo/html/omnivus/omnivus/assets/js/jquery.nice-select.min.js	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/assets/js/jquery.nice-select.min.js	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:32	8183/8183	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%221ff7-5879d40c7bb80%22	https://gizmoder.com/demo/html/omnivus/omnivus/assets/js/wow.min.js	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/assets/js/wow.min.js	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:32	8044/8044	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%221f6c-58cbce1778500%22	https://gizmoder.com/demo/html/omnivus/omnivus/assets/js/waypoints.min.js	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/assets/js/waypoints.min.js	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:32	5910/5910	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%222e0d-5987618d92480%22	https://gizmoder.com/demo/html/omnivus/omnivus/assets/js/main.js	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/assets/js/main.js	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:32	12310/12310	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3054ce-3016%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/software%20com/ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
